companyId,unitId,imei,esn,manufacturer,unitType,version,isRMA,liveAgeDays,HDOPQuality,ExcessiveEvents,LowBattery,IgnitionOnEventsAbnormal,PowerDisconnect,LowSatellites,DailyOdometerExceeded,WirelessSignal,MaintenanceLimitExceeded,LateEvents,CommLost,DailyEngineHoursExceeded
27712,200118320,862427060281021,88X131230738,Geometris,"80 Series",88,1,236,0,768,1,9.806121826171875,7.5,0,0,0,0,0,0,0
27513,200114889,867969065022673,88X131390440,Geometris,"80 Series",88,1,274,0,0,0,0,1,0,0,0,0,0,0,0
26725,200101892,868996067088427,68B123190259,Geometris,"68 Series","68 Series",1,435,0,0,0,0,7.25,0,0,0,0,0,0,0
27965,200123028,860092055477000,4675317745,CalAmp,"32 - bit","2630 LTE",1,260,0,0,10.153846153846153,0,1.6666666666666667,0,0,0,1,0,0,0
344,200092904,865640068794087-031824134609,4675382725-031824134609,CalAmp,"32 - bit","LMU2630 CAT_M",1,532,0,0,4,7.396484375,0,0,0,0,0,0,0,0
344,200092881,865640068104642-031824134544,4675382762-031824134544,CalAmp,"32 - bit","LMU2630 CAT_M",1,532,0,0,0,6.497211456298828,0,0,0,0,0,0,0,0
4248,200050998,864919057742013-031824134627,4675165896-031824134627,CalAmp,"32 - bit","2630 LTE",1,562,0,0,2.727272727272727,5.531914710998535,0,0,0,0,0,0,0,0
344,200092885,865640068190401-031824134605,4675382780-031824134605,CalAmp,"32 - bit","LMU2630 CAT_M",1,532,0,0,1,11.675159913522226,0,0,0,0,0,0,0,0
344,200092919,865640068148086-031824134540,4675382750-031824134540,CalAmp,"32 - bit","LMU2630 CAT_M",1,532,0,0,0,8.843947701983982,0,0,0,0,0,0,0,0
22698,200057713,868199051821743-031824134532,4675082177-031824134532,CalAmp,"32 - bit","LMU2630 CAT_M",1,864,0,810,0,5.621301651000977,1,0,0,0,0,0,0,0
344,200092927,865640068092664-031824134605,4675382802-031824134605,CalAmp,"32 - bit","LMU2630 CAT_M",1,532,0,0,0,8.61600409235273,0,0,0,0,0,0,0,0
344,200048227,868199051793470-031824134548,4675081494-031824134548,CalAmp,"32 - bit","LMU2630 CAT_M",1,786,0,0,1.4285714285714286,5.8485589027404785,0,0,0,0,0,0,0,0
23201,200123225,867198050048507,87X102170137,Geometris,"80 Series","80 Series HSPA 3G",1,127,84.00642903645833,834.4375,1,16.41306479771932,1.75,0,0,0,0,11.583924293518066,0,0
344,200092902,865640068212973-031824134553,4675382788-031824134553,CalAmp,"32 - bit","LMU2630 CAT_M",1,532,0,0,1,11.33031059566297,4,0,0,0,0,0,0,0
27980,200123216,862464060829392-031424151357,88B120420089-031424151357,Geometris,"80 Series",88,1,162,0,809,0,5.202702760696411,0,0,0,0,0,0,0,0
25521,200068682,88B120330030-031424151556,88B120330030-031424151556,Geometris,"80 Series",88,1,756,0,0,3,0,0,0,0,0,0,0,0,0
25304,200088144,-031324171132,6B2CMLK7-031324171132,VidFleet,VidFleet,4K,1,819,55.722365061442055,0,0,0,0,0,0,0,0,0,0,0
25304,200109970,016100000223834-031324171156,6B3018JR-031324171156,VidFleet,VidFleet,4K,1,338,49.79271979081003,0,0,0,1.5714285714285714,0,0,0,0,0,0,0
27943,200122627,88B120890432-031224154047,88B120890432-031224154047,Geometris,"80 Series",88,1,163,0,0,0,6.31268949508667,1,0,0,0,0,0,0,0
25833,200129033,016100000494146,6B301EJP,VidFleet,VidFleet,4K,1,75,0,2985.5555555555557,0,0,1,0,0,0,0,0,66.66666412353516,0
26838,200104372,016100000189944,6B3017W8,VidFleet,VidFleet,4K,1,474,50.8969855769988,0,0,0,1,0,0,0,0,0,0,0
28568,200132443,357766099336633,4674566746,CalAmp,"32 - bit","2630 LTE",1,8,100.71691131591797,0,0,0,0,0,0,0,0,0,0,0
27670,200122519,016100000323113,6B301C2B,VidFleet,VidFleet,4K,1,172,45.293983459472656,0,0,6.015037536621094,0,0,0,0,0,0,0,0
22721,200092987,016100000016386,6B301K3H,VidFleet,VidFleet,4K,1,525,58.006893157958984,0,0,0,0,0,0,0,0,0,0,0
27718,200118366,88B112920162,88B112920162,Geometris,"80 Series",88,1,224,0,0,0,6.817998027801513,0,0,0,0,0,0,0,0
27718,200118368,88B112920119,88B112920119,Geometris,"80 Series",88,1,224,0,0,0,8.762887001037598,0,0,0,0,0,0,0,0
24621,200052467,88B112420105-030724164130,88B112420105-030724164130,Geometris,"80 Series",88,1,860,0,0,0,6.639004230499268,0,0,0,0,0,0,0,0
21734,200045451,357766099076882,4674556402,CalAmp,"32 - bit","LMU 2630 LTE USC",1,1059,0,1338,1,5.666666746139526,2,0,0,0,0,0,0,0
